orderId,customerId,category,quantity,price,orderDate
O0099,C029,Sports,1,9999,2026-01-21
O0100,C097,Electronics,2,799,2026-01-11
O0101,C080,Clothing,2,499,2026-08-31
O0102,C086,Electronics,5,799,2026-08-27
O0103,C090,Books,3,499,2026-02-28
O0104,C100,Clothing,3,299,2026-01-14
O0105,C040,Beauty,4,1999,2026-04-12
O0106,C010,Beauty,2,299,2026-06-04
O0107,C088,Beauty,1,7999,2026-01-22
O0108,C045,Beauty,4,9999,2026-07-09
O0109,C009,Beauty,3,199,2026-08-04
O0110,C063,Electronics,4,1499,2026-08-24
O0111,C091,Clothing,4,499,2026-09-25
O0112,C084,Books,5,4999,2026-09-05
O0113,C060,Home,5,999,2026-06-15
O0114,C032,Electronics,3,2499,2026-05-05
O0115,C097,Home,5,7999,2026-07-14
O0116,C044,Electronics,4,1499,2026-04-04
O0117,C063,Clothing,3,999,2026-06-24
O0118,C036,Beauty,3,4999,2026-01-06
O0119,C067,Clothing,1,799,2026-07-28
O0120,C063,Beauty,2,14999,2026-09-01
O0121,C083,Sports,4,2499,2026-01-09
O0122,C012,Books,2,1999,2026-05-05
O0123,C040,Sports,5,1499,2026-08-31
O0124,C071,Beauty,3,1999,2026-06-19
O0125,C046,Sports,4,999,2026-06-06
O0126,C033,Clothing,1,14999,2026-04-09
O0127,C041,Electronics,5,14999,2026-04-05
O0128,C025,Clothing,4,999,2026-09-26
O0129,C077,Books,1,799,2026-06-01
O0130,C030,Books,2,999,2026-01-08
O0131,C091,Beauty,2,999,2026-01-24
O0132,C007,Beauty,3,14999,2026-03-06
O0133,C082,Home,1,199,2026-05-26
O0134,C061,Home,4,1499,2026-04-05
O0135,C007,Books,4,299,2026-02-03
O0136,C052,Home,1,7999,2026-01-28
O0137,C020,Clothing,5,999,2026-02-13
O0138,C032,Electronics,5,1999,2026-04-26
O0139,C100,Beauty,4,2499,2026-08-15
O0140,C039,Beauty,4,999,2026-01-31
O0141,C079,Sports,1,799,2026-04-19
O0142,C034,Sports,1,499,2026-05-03
O0143,C023,Beauty,1,499,2026-01-02
O0144,C053,Home,5,2499,2026-05-30
O0145,C005,Clothing,3,14999,2026-05-25
O0146,C090,Home,1,9999,2026-04-30
O0147,C034,Sports,5,9999,2026-04-12
O0148,C055,Electronics,5,799,2026-03-18
O0149,C035,Clothing,1,199,2026-03-26
O0150,C040,Beauty,5,999,2026-08-13
O0151,C016,Home,3,14999,2026-07-26
O0152,C035,Beauty,5,2499,2026-08-13
O0153,C011,Beauty,1,1999,2026-06-15
O0154,C078,Books,1,299,2026-04-28
O0155,C087,Beauty,5,199,2026-05-18
O0156,C074,Electronics,2,2499,2026-09-23
O0157,C084,Home,3,499,2026-08-12
O0158,C082,Home,1,2499,2026-06-28
O0159,C053,Books,3,9999,2026-02-23
O0160,C021,Books,4,14999,2026-09-11
O0161,C037,Sports,4,4999,2026-01-19
O0162,C059,Electronics,3,999,2026-06-15
O0163,C015,Home,5,199,2026-08-25
O0164,C053,Electronics,2,4999,2026-07-05
O0165,C080,Home,4,199,2026-04-15
O0166,C035,Beauty,2,999,2026-08-13
O0167,C090,Home,1,199,2026-05-03
O0168,C091,Clothing,3,4999,2026-01-08
O0169,C071,Home,1,799,2026-02-28
O0170,C060,Electronics,2,2499,2026-05-30
O0171,C066,Sports,3,1999,2026-09-05
O0172,C061,Clothing,4,4999,2026-03-16
O0173,C050,Clothing,5,4999,2026-03-11
O0174,C009,Books,4,1499,2026-09-17
O0175,C035,Electronics,3,14999,2026-06-02
O0176,C076,Beauty,4,499,2026-08-17
O0177,C069,Home,3,1499,2026-07-13
O0178,C059,Books,2,14999,2026-05-03
O0179,C074,Home,2,1999,2026-01-23
O0180,C041,Sports,4,14999,2026-07-15
O0181,C050,Sports,2,2499,2026-01-19
O0182,C017,Beauty,5,1499,2026-02-21
O0183,C057,Electronics,5,2499,2026-01-08
O0184,C093,Clothing,4,9999,2026-03-21
O0185,C010,Home,3,1499,2026-07-23
O0186,C084,Electronics,3,9999,2026-07-14
O0187,C041,Sports,4,4999,2026-01-19
O0188,C080,Electronics,2,9999,2026-05-28
O0189,C030,Sports,1,1999,2026-02-20
O0190,C098,Sports,1,2499,2026-03-27
O0191,C089,Books,1,199,2026-06-16
O0192,C008,Books,3,1499,2026-08-09
O0193,C019,Clothing,5,1999,2026-04-03
O0194,C022,Clothing,1,7999,2026-07-15
O0195,C080,Sports,2,2499,2026-03-15
O0196,C030,Home,3,2499,2026-05-11
O0197,C086,Electronics,4,999,2026-03-22
O0198,C010,Home,3,7999,2026-06-03
O0199,C082,Home,3,2499,2026-06-04
O0200,C026,Home,4,299,2026-05-02
O0201,C049,Beauty,3,7999,2026-06-01
O0202,C090,Books,1,9999,2026-07-22
O0203,C036,Electronics,5,9999,2026-01-26
O0204,C078,Sports,4,999,2026-04-28
O0205,C078,Books,2,9999,2026-04-08
O0206,C080,Books,2,9999,2026-02-19
O0207,C081,Sports,1,999,2026-08-14
O0208,C005,Beauty,3,14999,2026-03-09
O0209,C012,Books,3,14999,2026-08-01
O0210,C023,Clothing,2,4999,2026-07-07
O0211,C068,Beauty,3,499,2026-05-12
O0212,C062,Books,3,299,2026-08-28
O0213,C010,Clothing,2,9999,2026-07-23
O0214,C072,Books,1,1999,2026-01-08
O0215,C034,Beauty,1,2499,2026-07-08
O0216,C087,Sports,3,7999,2026-07-15
O0217,C082,Books,1,9999,2026-04-30
O0218,C061,Electronics,5,4999,2026-06-17
O0219,C079,Clothing,1,9999,2026-08-26
O0220,C090,Books,4,299,2026-03-13
O0221,C006,Electronics,3,2499,2026-03-01
O0222,C013,Clothing,5,499,2026-07-18
O0223,C059,Books,5,1999,2026-03-21
O0224,C054,Sports,1,2499,2026-07-28
O0225,C036,Electronics,3,799,2026-08-16
O0226,C057,Clothing,3,299,2026-07-08
O0227,C070,Sports,3,199,2026-07-23
O0228,C036,Clothing,1,2499,2026-02-16
O0229,C085,Clothing,5,199,2026-01-26
O0230,C043,Clothing,2,7999,2026-04-16
O0231,C009,Beauty,2,7999,2026-04-21
O0232,C030,Books,2,7999,2026-01-02
O0233,C036,Clothing,2,4999,2026-05-09
O0234,C023,Electronics,1,499,2026-01-08
O0235,C046,Clothing,5,1499,2026-01-09
O0236,C023,Books,1,499,2026-08-04
O0237,C068,Electronics,1,2499,2026-08-18
O0238,C100,Books,5,7999,2026-02-25
O0239,C058,Beauty,2,7999,2026-01-23
O0240,C094,Sports,5,999,2026-08-23
O0241,C083,Electronics,1,2499,2026-07-25
O0242,C055,Sports,1,2499,2026-08-16
O0243,C010,Electronics,3,7999,2026-03-17
O0244,C009,Clothing,3,7999,2026-06-16
O0245,C049,Beauty,5,999,2026-08-21
O0246,C065,Beauty,4,299,2026-02-28
O0247,C084,Sports,5,14999,2026-04-21
O0248,C056,Home,2,1999,2026-06-23
O0249,C059,Home,4,14999,2026-02-18
O0250,C041,Home,3,9999,2026-05-11
O0251,C048,Clothing,4,299,2026-02-16
O0252,C011,Electronics,4,299,2026-07-10
O0253,C017,Beauty,1,7999,2026-06-18
O0254,C086,Electronics,4,1499,2026-08-05
O0255,C093,Electronics,3,7999,2026-06-09
O0256,C046,Electronics,5,4999,2026-04-19
O0257,C020,Sports,4,799,2026-02-25
O0258,C045,Beauty,3,299,2026-05-23
O0259,C074,Clothing,4,4999,2026-01-14
O0260,C078,Sports,3,199,2026-04-03
O0261,C035,Sports,3,1499,2026-06-29
O0262,C001,Clothing,2,7999,2026-07-25
O0263,C009,Clothing,1,299,2026-04-21
O0264,C049,Home,4,1499,2026-03-22
O0265,C048,Books,3,7999,2026-02-13
O0266,C007,Clothing,2,7999,2026-01-26
O0267,C087,Electronics,3,2499,2026-08-06
O0268,C063,Beauty,4,1999,2026-05-20
O0269,C028,Beauty,1,1499,2026-08-09
O0270,C015,Books,5,2499,2026-09-27
O0271,C086,Books,1,799,2026-07-22
O0272,C077,Electronics,1,799,2026-06-04
O0273,C028,Clothing,3,999,2026-06-17
O0274,C016,Electronics,4,14999,2026-08-09
O0275,C023,Clothing,4,4999,2026-04-28
O0276,C065,Beauty,3,299,2026-07-23
O0277,C095,Electronics,4,199,2026-08-24
O0278,C010,Books,5,1999,2026-07-27
O0279,C091,Sports,4,999,2026-02-28
O0280,C052,Electronics,3,499,2026-08-24
O0281,C089,Books,1,1999,2026-02-24
O0282,C032,Home,5,1999,2026-09-26
O0283,C011,Home,3,14999,2026-06-23
O0284,C029,Books,2,299,2026-09-19
O0285,C082,Electronics,5,4999,2026-04-10
O0286,C100,Books,3,14999,2026-03-17
O0287,C031,Electronics,2,999,2026-04-12
O0288,C023,Beauty,2,9999,2026-02-08
O0289,C023,Sports,4,2499,2026-08-18
O0290,C088,Beauty,5,1499,2026-06-11
O0291,C020,Home,1,2499,2026-08-15
O0292,C081,Books,3,7999,2026-01-29
O0293,C046,Beauty,1,999,2026-08-25
O0294,C058,Electronics,1,1499,2026-05-27
O0295,C010,Sports,1,7999,2026-09-17
O0296,C050,Home,5,4999,2026-01-22
O0297,C058,Beauty,2,1499,2026-09-01
O0298,C065,Clothing,1,2499,2026-02-22
O0299,C044,Sports,1,4999,2026-03-30
O0300,C006,Clothing,4,2499,2026-09-26
O0301,C067,Beauty,2,1499,2026-07-10
O0302,C037,Home,4,1499,2026-01-27
O0303,C081,Sports,3,299,2026-06-18
O0304,C013,Beauty,4,999,2026-05-10
O0305,C093,Sports,5,499,2026-06-20
O0306,C011,Beauty,2,1499,2026-06-08
O0307,C084,Sports,4,499,2026-02-13
O0308,C040,Beauty,4,9999,2026-06-18
O0309,C017,Sports,5,299,2026-08-05
O0310,C066,Books,1,1499,2026-06-08
O0311,C024,Clothing,3,2499,2026-04-09
O0312,C029,Clothing,2,299,2026-06-01
O0313,C013,Beauty,5,14999,2026-09-27
O0314,C005,Sports,3,7999,2026-03-09
O0315,C077,Home,2,499,2026-04-03
O0316,C089,Beauty,2,14999,2026-08-13
O0317,C006,Home,3,9999,2026-05-02
O0318,C057,Beauty,3,14999,2026-08-18
O0319,C030,Beauty,2,999,2026-08-29
O0320,C025,Books,5,2499,2026-08-25
O0321,C099,Books,4,4999,2026-09-28
O0322,C054,Clothing,2,7999,2026-03-12
O0323,C033,Electronics,4,1499,2026-02-22
O0324,C092,Beauty,1,999,2026-02-12
O0325,C098,Clothing,3,2499,2026-09-20
O0326,C019,Home,1,799,2026-08-19
O0327,C045,Electronics,4,199,2026-07-22
O0328,C065,Books,2,1999,2026-02-11
O0329,C048,Clothing,1,1499,2026-02-20
O0330,C092,Sports,3,499,2026-03-12
O0331,C005,Books,4,14999,2026-03-13
O0332,C098,Sports,4,2499,2026-01-03
O0333,C011,Electronics,3,799,2026-03-18
O0334,C071,Sports,5,4999,2026-08-05
O0335,C015,Books,2,999,2026-03-04
O0336,C007,Clothing,4,9999,2026-08-23
O0337,C009,Electronics,4,7999,2026-01-09
O0338,C081,Beauty,5,799,2026-03-15
O0339,C038,Home,1,7999,2026-06-30
O0340,C031,Beauty,4,499,2026-02-13
O0341,C068,Books,1,4999,2026-09-17
O0342,C065,Beauty,1,1999,2026-08-29
O0343,C006,Sports,4,1499,2026-05-10
O0344,C096,Electronics,3,299,2026-06-26
O0345,C031,Sports,1,7999,2026-06-20
O0346,C018,Electronics,3,4999,2026-06-23
O0347,C083,Clothing,4,14999,2026-09-03
O0348,C081,Clothing,2,299,2026-08-23
O0349,C005,Books,2,199,2026-04-13
O0350,C006,Books,3,4999,2026-07-23
O0351,C070,Home,3,199,2026-04-08
O0352,C037,Books,1,9999,2026-06-19
O0353,C035,Electronics,3,1999,2026-07-24
O0354,C096,Home,4,1499,2026-04-06
O0355,C064,Sports,4,1499,2026-09-23
O0356,C035,Electronics,4,299,2026-08-09
O0357,C078,Clothing,5,999,2026-06-14
O0358,C014,Electronics,3,9999,2026-06-01
O0359,C040,Home,5,14999,2026-08-07
O0360,C022,Sports,4,1499,2026-08-17
O0361,C006,Sports,3,7999,2026-08-11
O0362,C036,Sports,1,299,2026-07-27
O0363,C047,Beauty,2,199,2026-03-15
O0364,C078,Sports,4,199,2026-03-06
O0365,C009,Clothing,3,1499,2026-07-16
O0366,C073,Electronics,5,499,2026-08-19
O0367,C048,Books,4,299,2026-03-12
O0368,C068,Books,4,1499,2026-05-23
O0369,C032,Electronics,1,14999,2026-04-06
O0370,C064,Beauty,4,4999,2026-03-02
O0371,C034,Books,4,799,2026-05-27
O0372,C089,Home,2,299,2026-03-11
O0373,C010,Home,2,14999,2026-08-16
O0374,C012,Sports,3,9999,2026-06-27
O0375,C091,Electronics,5,4999,2026-05-29
O0376,C039,Clothing,2,1499,2026-09-18
O0377,C029,Electronics,2,499,2026-05-02
O0378,C064,Electronics,3,4999,2026-07-08
O0379,C060,Beauty,2,7999,2026-02-14
O0380,C009,Books,4,14999,2026-09-03
O0381,C068,Home,4,7999,2026-02-07
O0382,C017,Books,1,2499,2026-08-27
O0383,C088,Beauty,3,499,2026-04-04
O0384,C099,Clothing,4,4999,2026-01-29
O0385,C016,Beauty,2,999,2026-03-26
O0386,C021,Books,2,1499,2026-09-23
O0387,C037,Electronics,3,799,2026-05-21
O0388,C017,Sports,3,7999,2026-02-17
O0389,C065,Sports,2,7999,2026-03-20
O0390,C022,Sports,5,14999,2026-06-22
O0391,C073,Electronics,1,299,2026-01-24
O0392,C083,Beauty,3,9999,2026-04-18
O0393,C099,Beauty,4,7999,2026-01-16
O0394,C064,Sports,5,999,2026-06-04
O0395,C062,Clothing,4,999,2026-08-21
O0396,C010,Sports,1,499,2026-08-14
O0397,C054,Home,4,799,2026-06-24
O0398,C078,Clothing,3,14999,2026-06-13
O0399,C094,Books,4,499,2026-07-09
O0400,C066,Beauty,1,1499,2026-05-04
O0401,C060,Electronics,3,2499,2026-05-07
O0402,C019,Electronics,1,999,2026-07-16
O0403,C079,Home,2,499,2026-06-17
O0404,C074,Sports,3,799,2026-03-23
O0405,C064,Beauty,4,2499,2026-06-07
O0406,C064,Electronics,1,1999,2026-09-16
O0407,C059,Clothing,2,7999,2026-06-30
O0408,C007,Electronics,3,2499,2026-08-29
O0409,C037,Beauty,1,299,2026-08-09
O0410,C018,Books,3,1999,2026-07-07
O0411,C006,Home,1,7999,2026-04-10
O0412,C047,Beauty,3,299,2026-07-17
O0413,C065,Home,5,999,2026-03-02
O0414,C017,Electronics,4,1499,2026-06-23
O0415,C072,Books,2,799,2026-09-18
O0416,C052,Beauty,1,199,2026-01-20
O0417,C018,Sports,3,2499,2026-09-23
O0418,C059,Clothing,5,4999,2026-03-13
O0419,C042,Beauty,3,499,2026-07-21
O0420,C079,Sports,3,7999,2026-06-22
O0421,C065,Beauty,5,2499,2026-06-03
O0422,C061,Electronics,3,1499,2026-02-26
O0423,C054,Beauty,3,14999,2026-01-14
O0424,C077,Home,3,9999,2026-04-27
O0425,C093,Electronics,5,2499,2026-03-29
O0426,C068,Sports,5,1999,2026-03-17
O0427,C088,Clothing,1,7999,2026-02-26
O0428,C025,Electronics,4,1499,2026-08-03
O0429,C020,Home,2,1999,2026-09-14
O0430,C100,Beauty,4,14999,2026-02-01
O0431,C091,Clothing,5,799,2026-06-16
O0432,C085,Home,5,1999,2026-06-10
O0433,C023,Home,5,1499,2026-07-01
O0434,C087,Sports,3,7999,2026-09-05
O0435,C025,Clothing,3,4999,2026-06-02
O0436,C029,Books,3,14999,2026-04-17
O0437,C089,Sports,4,1499,2026-09-03
O0438,C045,Beauty,3,999,2026-03-04
O0439,C074,Sports,5,1999,2026-07-22
O0440,C045,Clothing,3,199,2026-05-28
O0441,C092,Electronics,3,2499,2026-05-12
O0442,C096,Home,2,799,2026-05-19
O0443,C072,Sports,3,499,2026-02-25
O0444,C079,Sports,5,799,2026-05-05
O0445,C007,Sports,5,799,2026-04-30
O0446,C007,Electronics,4,1499,2026-08-30
O0447,C013,Sports,2,199,2026-03-22
O0448,C053,Sports,4,2499,2026-04-13
O0449,C097,Books,3,999,2026-01-31
O0450,C099,Electronics,5,799,2026-01-20
O0451,C023,Home,2,199,2026-07-23
O0452,C064,Clothing,3,199,2026-01-05
O0453,C039,Beauty,5,299,2026-06-21
O0454,C037,Home,5,4999,2026-09-10
O0455,C018,Beauty,4,999,2026-04-09
O0456,C015,Books,2,14999,2026-08-23
O0457,C083,Books,2,199,2026-06-22
O0458,C038,Beauty,2,499,2026-07-27
O0459,C055,Beauty,3,299,2026-07-25
O0460,C086,Electronics,2,499,2026-09-02
O0461,C042,Clothing,1,999,2026-07-16
O0462,C031,Home,3,1499,2026-06-04
O0463,C075,Sports,5,199,2026-05-14
O0464,C084,Books,2,199,2026-03-02
O0465,C060,Books,2,1999,2026-09-15
O0466,C091,Books,1,9999,2026-06-01
O0467,C048,Beauty,2,799,2026-03-10
O0468,C062,Clothing,4,14999,2026-07-11
O0469,C054,Sports,5,2499,2026-04-22
O0470,C098,Clothing,5,299,2026-09-27
O0471,C058,Beauty,3,299,2026-02-27
O0472,C008,Beauty,5,799,2026-03-18
O0473,C022,Books,5,2499,2026-03-01
O0474,C088,Clothing,5,2499,2026-02-16
O0475,C066,Home,1,2499,2026-03-09
O0476,C066,Home,4,7999,2026-01-30
O0477,C072,Home,3,14999,2026-01-12
O0478,C051,Books,1,14999,2026-04-22
O0479,C075,Electronics,1,1999,2026-06-26
O0480,C090,Electronics,5,199,2026-02-05
O0481,C061,Electronics,3,1999,2026-04-03
O0482,C099,Clothing,4,1499,2026-07-15
O0483,C058,Home,4,299,2026-03-10
O0484,C084,Books,1,499,2026-07-21
O0485,C068,Clothing,2,199,2026-01-12
O0486,C039,Home,5,1999,2026-07-14
O0487,C030,Clothing,4,1499,2026-03-21
O0488,C036,Clothing,1,199,2026-08-03
O0489,C079,Electronics,2,799,2026-02-04
O0490,C013,Beauty,1,2499,2026-01-25
O0491,C032,Sports,1,1999,2026-08-13
O0492,C030,Beauty,2,199,2026-03-13
O0493,C065,Books,2,14999,2026-06-13
O0494,C074,Beauty,3,799,2026-06-04
O0495,C019,Sports,5,799,2026-07-31
O0496,C039,Books,1,4999,2026-03-31
O0497,C081,Sports,4,4999,2026-09-11
O0498,C007,Books,4,4999,2026-06-13
O0499,C090,Home,4,499,2026-06-03
O0500,C049,Clothing,5,2499,2026-05-04
O0501,C029,Books,2,2499,2026-01-30
O0502,C072,Home,4,4999,2026-03-10
O0503,C050,Clothing,3,799,2026-06-19
O0504,C083,Electronics,4,1499,2026-02-17
O0505,C069,Sports,2,199,2026-05-18
O0506,C049,Sports,5,7999,2026-01-21
O0507,C010,Clothing,5,14999,2026-04-22
O0508,C062,Clothing,3,999,2026-01-08
O0509,C028,Clothing,1,14999,2026-09-03
O0510,C032,Sports,5,14999,2026-04-15
O0511,C051,Clothing,5,1499,2026-05-25
O0512,C049,Home,5,9999,2026-07-03
O0513,C040,Books,3,4999,2026-09-12
O0514,C060,Electronics,4,1499,2026-04-15
O0515,C048,Books,4,199,2026-04-24
O0516,C095,Clothing,1,999,2026-08-02
O0517,C038,Clothing,2,1499,2026-04-28
O0518,C049,Beauty,2,2499,2026-06-22
O0519,C033,Home,4,2499,2026-03-28
O0520,C094,Books,2,499,2026-09-08
O0521,C024,Beauty,1,4999,2026-01-18
O0522,C010,Sports,1,199,2026-07-31
O0523,C018,Sports,2,299,2026-03-19
O0524,C002,Clothing,5,2499,2026-07-11
O0525,C008,Beauty,5,2499,2026-09-07
O0526,C003,Electronics,5,4999,2026-07-30
O0527,C002,Electronics,5,14999,2026-05-21
O0528,C069,Books,1,4999,2026-08-09
O0529,C023,Electronics,1,4999,2026-03-18
O0530,C031,Clothing,5,4999,2026-05-10
O0531,C046,Books,4,299,2026-07-11
O0532,C052,Home,5,799,2026-04-26
O0533,C039,Sports,1,9999,2026-01-17
O0534,C012,Home,4,1999,2026-09-01
O0535,C008,Sports,1,14999,2026-03-29
O0536,C011,Home,4,9999,2026-06-19
O0537,C073,Electronics,5,199,2026-04-28
O0538,C028,Sports,5,2499,2026-05-19
O0539,C006,Electronics,3,4999,2026-01-17
O0540,C023,Books,1,799,2026-03-15
O0541,C097,Sports,4,299,2026-06-03
O0542,C021,Beauty,2,7999,2026-07-19
O0543,C087,Beauty,3,1999,2026-03-13
O0544,C089,Sports,1,4999,2026-06-27
O0545,C007,Electronics,4,799,2026-02-08
O0546,C044,Beauty,5,7999,2026-07-23
O0547,C100,Books,1,9999,2026-05-20
O0548,C058,Home,2,1499,2026-07-12
O0549,C056,Clothing,5,9999,2026-07-14
O0550,C011,Beauty,3,799,2026-02-07
O0551,C011,Books,2,1999,2026-03-20
O0552,C095,Home,3,1499,2026-02-24
O0553,C012,Electronics,3,2499,2026-07-04
O0554,C098,Books,1,499,2026-02-14
O0555,C024,Home,4,4999,2026-09-20
O0556,C053,Electronics,1,299,2026-07-01
O0557,C071,Electronics,5,7999,2026-06-16
O0558,C050,Electronics,3,1999,2026-07-18
O0559,C100,Electronics,5,799,2026-09-24
O0560,C022,Sports,4,499,2026-03-13
O0561,C035,Books,3,2499,2026-03-16
O0562,C009,Clothing,4,999,2026-08-04
O0563,C039,Home,1,1499,2026-05-09
O0564,C032,Sports,4,7999,2026-04-11
O0565,C059,Electronics,2,999,2026-01-04
O0566,C051,Books,5,1999,2026-06-18
O0567,C057,Books,4,9999,2026-03-11
O0568,C039,Books,5,14999,2026-04-13
O0569,C062,Books,2,1999,2026-06-13
O0570,C038,Sports,4,7999,2026-05-05
O0571,C042,Home,3,1999,2026-07-06
O0572,C015,Beauty,2,7999,2026-04-03
O0573,C088,Beauty,1,14999,2026-08-25
O0574,C091,Clothing,4,999,2026-02-05
O0575,C053,Sports,4,499,2026-06-05
O0576,C031,Books,2,14999,2026-08-05
O0577,C049,Electronics,4,7999,2026-09-03
O0578,C075,Home,5,4999,2026-08-03
O0579,C070,Electronics,3,14999,2026-02-13
O0580,C014,Clothing,3,499,2026-01-23
O0581,C073,Sports,4,1499,2026-08-09
O0582,C014,Electronics,1,999,2026-04-24
O0583,C066,Sports,5,4999,2026-04-24
O0584,C058,Books,4,2499,2026-09-14
O0585,C020,Books,1,2499,2026-02-23
O0586,C038,Home,1,299,2026-03-14
O0587,C045,Books,3,2499,2026-04-16
O0588,C067,Home,3,2499,2026-02-19
O0589,C057,Sports,4,1499,2026-02-04
O0590,C039,Electronics,1,199,2026-06-25
O0591,C083,Electronics,2,14999,2026-05-05
O0592,C067,Clothing,5,499,2026-06-19
O0593,C072,Home,4,799,2026-07-27
O0594,C081,Clothing,2,9999,2026-08-10
O0595,C051,Electronics,5,799,2026-08-19
O0596,C076,Home,4,199,2026-04-20
O0597,C027,Books,1,7999,2026-02-22
O0598,C069,Clothing,3,1499,2026-04-11
O0599,C059,Electronics,3,9999,2026-09-08
O0600,C068,Sports,3,7999,2026-07-18
O0601,C079,Home,5,299,2026-06-28
O0602,C046,Home,5,499,2026-06-02
O0603,C079,Beauty,1,9999,2026-03-10
O0604,C041,Electronics,2,999,2026-03-01
O0605,C024,Books,2,4999,2026-07-18
O0606,C054,Beauty,2,7999,2026-07-16
O0607,C055,Clothing,4,9999,2026-03-30
O0608,C072,Clothing,4,999,2026-03-13
O0609,C024,Books,4,7999,2026-01-28
O0610,C046,Electronics,4,499,2026-04-10
O0611,C050,Beauty,5,9999,2026-09-11
